,0\O 
0\O ,#\O Bologuruji\Hin=बोलोगुरुजी guruji\Hin=गुरुजी kya\Hin=क्या aap\Hin=आअप् ne\Hin=ने kabhi\Hin=कभी socha\Hin=सोचा tha\Hin=ता ke\Hin=क aap\Hin=आअप् ka\Hin=का channel\Eng India\Eng me\Eng top\Hin=टोप hogan\Hin=होगन .\O Luv\Hin=लव u\Hin=उ guruji\Hin=गुरुजी plz\Hin=प्ल्ज़ reply\Hin=रिप्लाई 
1\O ,@\O TechnicalGuruji\Eng Guruji\Eng Wo\Hin=वो Muuch\Hin=मूच (\O Mustache\Hin=मुस्चे )\O Rakh\Hin=रख Kar\Hin=कार Aap\Hin=आअप् Bade\Hin=बड़े Chutiye\Hin=चुटिय Lag\Hin=लाग Rahe\Hin=रह Ho\Hin=ह ?\O Kyun\Hin=क्युँ ?\O #\O BoloGuruji\Hin=बोलोगुरुजी 
2\O ,\O Honor\Eng 7c\Eng or\Eng Mi\Eng 5\O which\Eng is\Eng better\Eng ?\O #\O Bologuruji\Hin=बोलोगुरुजी 
3\O ,#\O BoloGuruji\Hin=बोलोगुरुजी Hlo\Hin=हो Bhai\Hin=भाई maraa\Hin=मरा saval\Hin=सवाल hai\Hin=हैं ke\Hin=क abhi\Hin=अभी mara\Hin=मरा pass\Eng 4g\Eng phone\Eng hai\Hin=हैं magar\Hin=मगर jab\Eng 5g\Eng aye\Hin=आये tab\Hin=तब fir\Hin=फिर se\Hin=सी new\Eng phone\Eng lanaa\Hin=लाना padanga\Hin=पदांगा and\Eng love\Hin=लव u\Hin=उ bhai\Hin=भाई 
4\O ,"@\O TechnicalGuruji\Eng 
Love\Hin=लव you\Hin=यूं guruji\Hin=गुरुजी 
kanpur\Hin=कानपुर meet\Hin=मीत up\Hin=उप kab\Hin=काब kab\Hin=काब ????\O 
love\Hin=लव your\Eng new\Eng look\Eng 
please\Eng up\Eng the\Eng question\Eng ...\O 
#\O Bologuruji\Hin=बोलोगुरुजी "\O 
5\O ,@\O Bhavu2010\Eng @\O SadhviDeva\Hin=सध्विदेव Jiii\Hin=जी haaa\Hin=हा bapujiii\Hin=बापूजी ko\Hin=को is\Hin=इस shadyantra\Hin=शड्यांत्र me\Hin=मे isliye\Hin=इसलिये hii\Hin=हैं fasayaaa\Hin=फ़साया gaya\Hin=गया takii\Hin=तकी wo\Hin=वो dharm\Hin=धर्म or\Hin=और sanskritii\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O kehhVU3ZOK\Eng 
6\O ,#\O Bologuruji\Hin=बोलोगुरुजी bhai\Hin=भाई hai\Hin=हैं apne\Hin=अपने bh\Hin=भी apple\Hin=एप्लअ ki\Hin=की tarah\Hin=तरह notch\Eng rakh\Hin=रख li\Hin=ली choti\Hin=चोटी si\Hin=सी ..\O 
7\O ,#\O Bologuruji\Hin=बोलोगुरुजी aap\Hin=आअप् apna\Hin=अप्ना number\Hin=नंबर de\Hin=दे do\Hin=दो sir\Hin=सिअर ji\Hin=जी please\Hin=प्लीअज् sir\Hin=सिअर sir\Hin=सिअर 
8\O ,#\O Bologuruji\Hin=बोलोगुरुजी guruji\Hin=गुरुजी maine\Hin=मैंने halhi\Hin=हली mai\Hin=माई realme\Hin=रिअलमे 1\O ka\Hin=का 4+64\O wala\Hin=वाला variant\Eng buy\Eng kiya\Hin=किया hai\Hin=हैं kya\Hin=क्या yeh\Hin=यह mobile\Hin=मोबाइले leke\Hin=लेके maine\Hin=मैंने sahi\Hin=सही kiya\Hin=किया p\Hin=प …\O https\Eng ://\O t\Eng .\O co\Eng /\O N0dizVQ0ID\Eng 
9\O ,#\O Bologuruji\Eng which\Eng phone\Eng to\Eng buy\Eng Huawei\Eng p20\Eng lite\Eng or\Eng Moto\Eng g6\Eng other\Eng love\Eng your\Eng videos\Eng and\Eng love\Eng you\Hin=यूं bhai\Hin=भाई 
10\O ,"\O Yeh\Hin=यह Kya\Hin=क्या hua\Hin=हुआ gaurav\Hin=गौरव Bhai\Hin=भाई ko\Eng 😲\EMT @\O TechnicalGuruji\Eng 
@\O emNikhil\Hin=इमनिखिल bro\Hin=बरो you\Hin=यूं forgot\Eng to\Eng blur\Eng it\Eng .\O 
#\O BoloGuruji\Hin=बोलोगुरुजी https\Eng ://\O t\Eng .\O co\Hin=को /\O hvoPgay0qT\Hin=ह्वोपगाय्0क़्त "\O 
11,गरूजी\O आपने\O दाढ़ी\O निकाल\O दी\O इस\O वजह\O से\O क्या\O आपको\O अजिब\O नहीं\O लग\O रहा\O क्यों\O की\O मुझे\O भी\O न\O चाहते\O हुए\O passport\Eng साइज\O फोटो\O के…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 3lfxPggKPe\Hin=3ल्फ्क्स्प्ग्क्पे 
12\O ,#\O BoloGuruji\Hin=बोलोगुरुजी Please\Eng start\Eng a\Eng gaming\Eng channel\Eng I\Eng would\Eng love\Eng seeing\Eng some\Eng gameplay\Eng videos\Eng by\Eng you\Eng by\Eng the\Eng way\Eng love\Eng your\Eng videos\Eng 
