,0\O 
0\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Bole\Eng toh---All\Eng The\Eng best\Eng #\O RanbirKapoor\Eng #\O SanjuOnBMS\Eng #\O Sanju\Hin=संजू #\O Mumbai\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O U0WePELVJY\Eng 
1\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Ae\Hin=अए Mamu\Hin=मामू Apne\Hin=अपने ko\Hin=को Bhi\Hin=भही Ek\Hin=इक #\O RanbirKapoor\Hin=रणविर्कपूर Joh\Hin=जौह hain\Hin=हैं Apna\Hin=अप्ना #\O Sanju\Hin=संजू Ek\Hin=इक Jaadhu\Hin=जाधु ki\Hin=की jhappii\Hin=झप्पी Dena\Hin=देना 
#\O SanjuOnBMS\Eng #\O Mumbai\Eng "\O 
2\O ,"\O Well\Eng played\Eng ,\O everyone\Eng !\O @\O yash\Eng _\O gosalia\Eng and\Eng @\O Mr\Eng _\O GauravMehta\Eng ,\O kindly\Eng DM\Eng us\Eng your\Hin=यर full\Eng name\Eng ,\O phone\Eng number\Eng ,\O email\Eng ID\Hin=ईद and\Eng a\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 6eXHpInPP4\Eng "\O 
3\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Mamu\Hin=मामू Tension\Hin=टैंशन nahi\Hin=नाही leneka\Hin=लेनेका Jab\Hin=जब tune\Hin=धुने apna\Hin=अप्ना best\Eng performance\Eng diya\Hin=दिया hai\Hin=हैं toh\Hin=तोह Picture\Eng Blockbus\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O fcDSE5lh66\Eng 
4\O ,"\O RT\Eng @\O JabirMansuris\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Apna\Hin=अप्ना jaisa\Hin=जैसा life\Hin=लाइफ jine\Hin=जीने ka\Hin=का sanju\Hin=संजू movie\Hin=मूवी dekhne\Hin=देख्ने ka\Hin=का full\Eng two\Eng jhakaas\Hin=झकास !\O 
Best\Eng of\Eng luck\Eng for\Eng the\Eng sanju\Hin=संजू mov\Hin=मूव …"\O 
5\O ,\O RT\Eng @\O Shrutikoorichh1\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng My\Eng love\Hin=लव for\Eng #\O RanbirKapoor\Hin=रणविर्कपूर #\O Sanju\Eng #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Contest\Eng #\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O x\Eng …\O 
6\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O SanjuOnBMS\Eng 

Ballu\Hin=बल्लू Balraam\Hin=बलराअम् ki\Hin=की taraf\Hin=तरफ़ yeah\Hin=या Sandesh\Hin=संदेश hai\Hin=हैं ki\Hin=की 
""\O Apne\Hin=अपने is\Hin=इस naye\Hin=नये Thanedar\Hin=थानेदार ko\Hin=को kissi\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O TfvF8RwEsL\Hin=त्फ्व्फ्8रवेस्ल "\O 
7\O ,"\O RT\Eng @\O faizan\Hin=फिजन _\O mans\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Kya\Hin=क्या bhai\Hin=भाई apun\Hin=अपुँ ki\Hin=की taraf\Hin=तरफ़ se\Hin=सी bole\Hin=बोलें toh\Hin=तोह all\Hin=अऔल dha\Hin=धा bhery\Hin=भरी bhest\Hin=भेस्ट 

#\O SanjuOnBMS\Eng "\O 
8\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Kya\Hin=क्या bhai\Hin=भाई apun\Hin=अपुँ ki\Hin=की taraf\Hin=तरफ़ se\Hin=सी bole\Hin=बोलें toh\Hin=तोह all\Hin=अऔल dha\Hin=धा bhery\Hin=भरी bhest\Hin=भेस्ट 

#\O SanjuOnBMS\Eng "\O 
9\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Lag\Hin=लाग Raha\Hin=रह Hu\Hin=हू na\Hin=ना Jakhaas\Hin=जखाअस is\Hin=इस shirt\Eng mein\Hin=मेइं mamu\Hin=मामू #\O SanjuOnBMS\Hin=संजुओन्ब्म 
10\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Circuit\Hin=सर्किट aapne\Hin=आपने ko\Hin=को excitement\Eng #\O Sanju\Eng movie\Hin=मूवी ka\Hin=का bohat\Hin=बोहत hai\Hin=हैं yaar\Hin=यार !\O ""\O Bole\Hin=बोलें toh\Hin=तोह ""\O Can't\Hin=कैं'ट wait\Eng 🙈.\O i\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 1sGiPRQj1o\Eng "\O 
11\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Bhai\Eng Mene\Hin=मैने #\O SanjuTrailer\Hin=संजूट्रेलर dekha\Hin=देखा !\O Bole\Hin=बोलें toh\Hin=तोह Solid\Hin=सोYलिड hai\Hin=हैं ekdum\Hin=एक्दम !\O Apun\Hin=अपुँ toh\Hin=तोह pakka\Hin=पक्का Apne\Hin=अपने pantar\Hin=पंतर logo\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O LmNT1cC0qd\Eng 
12\O ,@\O bookmyshow\Eng @\O Patil\Eng _\O 1117\O @\O foxstarhindi\Eng Are\Hin=अरे ye\Hin=ये movie\Hin=मूवी sabke\Hin=सबके liye\Hin=लिये hai\Hin=हैं re\Hin=री mamu\Hin=मामू ....\O sabne\Hin=सबने aane\Hin=आने ka\Hin=का bindass\Hin=बिंदस dekhne\Hin=देख्ने ka\Hin=का ...\O apna\Hin=अप्ना …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O TN3gP1MbDh\Hin=त्M3ग्प्1Mब्ड़ 
13\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Circuit\Hin=सर्किट aapne\Hin=आपने ko\Hin=को excitement\Eng #\O Sanju\Eng movie\Hin=मूवी ka\Hin=का bohat\Hin=बोहत hai\Hin=हैं yaar\Hin=यार !\O ""\O Bole\Hin=बोलें toh\Hin=तोह ""\O Can't\Hin=कैं'ट wait\Eng 🙈.…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O HKIFtJqxCP\Eng "\O 
14\O ,\O RT\Eng @\O bookmyshow\Eng :\O It's\Eng simple\Eng !\O Flaunt\Eng your\Hin=यर Mumbaiyya\Hin=मुंबैया lingo\Eng as\Eng you\Eng wish\Eng #\O RanbirKapoor\Hin=रणविर्कपूर and\Eng stand\Eng a\Eng chance\Eng to\Eng be\Eng a\Eng part\Eng of\Eng a\Eng special\Eng #\O Sanju\Hin=संजू '\O Mee\Hin=मे …\O 
15\O ,@\O bookmyshow\Eng #\O SanjuOnBMS\Eng Ae\Hin=अए chote\Hin=चोटे apun\Hin=अपुँ to\Hin=तू nikla\Hin=निकला tha\Hin=ता doctor\Hin=डॉक्टर banne\Hin=बन्ने ban\Hin=बान gaya\Hin=गया Actor\Hin=अच्तर 
16\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng My\Eng love\Hin=लव for\Eng #\O RanbirKapoor\Hin=रणविर्कपूर #\O Sanju\Eng #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Contest\Eng #\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O Rb4UKEWA1d\Eng 
17\O ,"\O RT\Eng @\O bookmyshow\Eng :\O We\Eng see\Eng some\Eng really\Eng enthusiastic\Eng wishes\Eng for\Eng #\O RanbirKapoor\Eng there\Eng !\O Keep\Eng them\Eng coming\Eng ,\O everyone\Eng .\O #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Cont\Eng …"\O 
18\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Abey\Eng bole\Hin=बोलें to\Hin=तू ye\Hin=ये meet\Hin=मीत n\Eng Greet\Hin=ग्रीत kya\Hin=क्या hai\Hin=हैं ..\O Mast\Hin=मस्त hai\Hin=हैं yaar\Hin=यार ..\O isko\Hin=इस्को bolte\Hin=बोलते hai\Hin=हैं kya\Hin=क्या meet\Hin=मीत n\Eng Greet\Eng ..…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Ttru50eoae\Hin=त्ट्रु50इओए 
19\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O Sanju\Hin=संजू aarela\Hin=अरेला hai\Hin=हैं .\O Bole\Hin=बोलें to\Hin=तू apne\Hin=अपने ko\Hin=को bhi\Hin=भही Jaadu\Hin=जादु ki\Hin=की jhappi\Hin=झप्पी milegi\Hin=मिलेगी kya\Hin=क्या ?\O #\O RanbirKapoor\Hin=रणविर्कपूर …\O https\Eng ://\O t\Eng .\O co\Eng /\O wFAF15pkbD\Eng 
20\O ,"\O RT\Eng @\O Patil\Eng _\O 1117\O :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng S\Hin=स Bole\Hin=बोलें toh\Hin=तोह SUPERSTAR\Hin=सुपर्स्टर SANJU\Hin=संजू 
A\Hin=आ Bole\Hin=बोलें toh\Hin=तोह AMEZING\Hin=अमेज़ींग 
N\Hin=न Bole\Hin=बोलें toh\Hin=तोह NAUTANKI\Hin=नौटन्की KHLNAYK\Hin=ख्लनाय्क 
J\Hin=ज Bole\Hin=बोलें toh\Hin=तोह JABRDST\Hin=जब्र्ड्स्त MA\Hin=मा …"\O 
