,0
0,@bookmyshow @foxstarhindi Bole toh---All The best #RanbirKapoor #SanjuOnBMS #Sanju #Mumbai. https://t.co/U0WePELVJY
1,"@bookmyshow @foxstarhindi Ae Mamu Apne ko Bhi Ek #RanbirKapoor Joh hain Apna #Sanju Ek Jaadhu ki jhappii Dena 
#SanjuOnBMS #Mumbai"
2,"Well played, everyone! @yash_gosalia and @Mr_GauravMehta, kindly DM us your full name, phone number, email ID and a… https://t.co/6eXHpInPP4"
3,@bookmyshow @foxstarhindi Aye Mamu Tension nahi leneka Jab tune apna best performance diya hai toh Picture Blockbus… https://t.co/fcDSE5lh66
4,"RT @JabirMansuris: @bookmyshow @foxstarhindi Apna jaisa life jine ka sanju movie dekhne ka full two jhakaas!
Best of luck for the sanju mov…"
5,RT @Shrutikoorichh1: @bookmyshow @foxstarhindi My love for #RanbirKapoor #Sanju   #SanjuOnBMS #ContestAlert #Contest #Mumbai https://t.co/x…
6,"@bookmyshow @foxstarhindi #SanjuOnBMS 

Ballu Balraam ki taraf yeah Sandesh hai ki 
""Apne is naye Thanedar ko kissi… https://t.co/TfvF8RwEsL"
7,"RT @faizan_mans: @bookmyshow @foxstarhindi Kya bhai apun  ki taraf se bole toh all dha bhery bhest 

#SanjuOnBMS"
8,"@bookmyshow @foxstarhindi Kya bhai apun  ki taraf se bole toh all dha bhery bhest 

#SanjuOnBMS"
9,@bookmyshow @foxstarhindi Lag Raha Hu na Jakhaas is shirt mein mamu #SanjuOnBMS
10,"@bookmyshow @foxstarhindi Aye Circuit aapne ko excitement #Sanju movie ka bohat hai yaar! ""Bole toh"" Can't wait 🙈.i… https://t.co/1sGiPRQj1o"
11,@bookmyshow @foxstarhindi Bhai Mene #SanjuTrailer dekha! Bole toh Solid hai ekdum! Apun toh pakka Apne pantar logo… https://t.co/LmNT1cC0qd
12,@bookmyshow @Patil_1117 @foxstarhindi Are ye movie sabke liye hai re mamu....sabne aane ka bindass dekhne ka...apna… https://t.co/TN3gP1MbDh
13,"@bookmyshow @foxstarhindi Aye Circuit aapne ko excitement #Sanju movie ka bohat hai yaar! ""Bole toh"" Can't wait 🙈.… https://t.co/HKIFtJqxCP"
14,RT @bookmyshow: It's simple! Flaunt your Mumbaiyya lingo as you wish #RanbirKapoor and stand a chance to be a part of a special #Sanju 'Mee…
15,@bookmyshow #SanjuOnBMS Ae chote apun to nikla tha doctor banne ban gaya Actor
16,@bookmyshow @foxstarhindi My love for #RanbirKapoor #Sanju   #SanjuOnBMS #ContestAlert #Contest #Mumbai https://t.co/Rb4UKEWA1d
17,"RT @bookmyshow: We see some really enthusiastic wishes for #RanbirKapoor there! Keep them coming, everyone. #SanjuOnBMS #ContestAlert #Cont…"
18,@bookmyshow @foxstarhindi Abey bole to ye meet n Greet kya hai.. Mast hai yaar.. isko bolte hai kya meet n Greet..… https://t.co/Ttru50eoae
19,@bookmyshow @foxstarhindi #Sanju aarela hai. Bole to apne ko bhi Jaadu ki jhappi milegi kya? #RanbirKapoor… https://t.co/wFAF15pkbD
20,"RT @Patil_1117: @bookmyshow @foxstarhindi S Bole toh  SUPERSTAR SANJU
A Bole toh AMEZING
N Bole toh NAUTANKI KHLNAYK
J Bole toh  JABRDST MA…"
21,@bookmyshow @foxstarhindi Wanna meet Sanju Bhai bole to ekdum rapchik #SanjuOnBMS https://t.co/9OmxqFgs6o
22,"@bookmyshow @foxstarhindi Aaila.. ""Meet n Greet""
Bole toh Ranbir Bhai ko apna bohot saara pyaar aur full too badi w… https://t.co/M8IcmjDARE"
23,"RT @bookmyshow: Well played, everyone! @yash_gosalia and @Mr_GauravMehta, kindly DM us your full name, phone number, email ID and age. We s…"
24,"@bookmyshow @foxstarhindi #SanjuOnBMS #ContestAlert #Contest #Mumbai 
Apun Wishing you a very All the best for the… https://t.co/JIMjHKbpxP"
