,0
0,"I just love how everyone is now praising @vickykaushal09
#Sanju"
1,"I AM NOT A TERRORIST
#sanjaydutt
@RajkumarHirani has once again done a fabulous job.
And yes it's RK'S career best… https://t.co/73gsedQSm4"
2,"RT @RealVinduSingh: A must watch movie! 👍
Many mis-conceptions will be cleared, one has to be BOLD enough to open ones life story and even…"
3,"RT @RanbirKapoorFC: #Sanju “Ranbir completely sheds his own identity and morphs into that of the character, imbibing even the tiniest of ma…"
4,RT @aavishhkar: Its INTERVAL ... And #SANJU has been FANTASTIC so far... #RanbirKapoor Deserves NATIONAL AWARD  for this Movie and @vickyka…
5,"RT @boxoffice_stats: #MovieReview #Sanju 
Final Words - An Epic Masterpiece Written All Over. Film Has Emotions, Laughs, Humours &amp; Everythi…"
6,RT @rajbansal9: #sanju #Sanju opens to packed houses across India. #RanbirKapoor @RajkumarHirani @duttsanjay @AnushkaSharma @sonamakapoor @…
7,RT @RoflGandhi_: Sanjay Dutt didn't play himself in #Sanju because @RajkumarHirani wasn't comfortable with the idea of real AK-47 on set an…
8,"RT @twiish_: Ranbir Kapoor is Kareena Kapoor Khan's brother, so boycott #Sanju"
9,"RT @BhadouriaPankaj: Where is Ranbir Kapoor? 
I can only see Sanjay Dutt here!
Watching Sanju !
#SanjuReview #sanju https://t.co/J0JL2ejpDH"
10,"RT @iamtnvr: Congrats RK Fans ❤
#Sanju Is Getting Humongous response from Theaters and Audience :)

Multiplex tickets are selling like Hot…"
11,RT @MuskanRKF: #Sanju is so truly amazing.U wll laugh and cry at the same time u wll be proud of Ranbir Kapoor and Sanjay Dutt.Nt even sing…
12,#Sanju is so realistic that Interval in the movie is named as parole.
13,#Sanju what a film ..... what an actor .... what a story ... what A director ... #blockbuster
14,RT @arvinnsandhu_: #SANJU IS LITERALLY THE BEST MOVIE I'VE WATCHED. May not have tears but the inner me cried at every scene of the movie.…
15,"RT @rishteycineplex: Aapko toh pata hi hoga ke Baba ne dusri baar nasha kab kiya tha!
Toh jaldi humein apne jawaab likhiye, bhulna nahi!…"
16,RT @AnushkaSharma: Playing @RajkumarHirani sir’s spirit character in #Sanju was so fun! This movie is his labour of love... go watch it guy…
17,"RT @IndiaHistorypic: c. 1968 :: Sanjay Dutt With Father  Sunil Dutt , Mother Nargis and Sisters Priya and Namrata  #Sanju https://t.co/AnuD…"
18,"RT @varoun93: Manish Pandey giving tough competition to Lord Stuart Binny 

#IREvIND #PlayPokerOnPokerlion #TheFaultInOurStars #PMSMA #VJSa…"
