,0
0,Gained 22 followers and lost 6 (stats by https://t.co/ZIgtIQhsJR)
1,Gained 21 followers and lost 18 (stats by https://t.co/ZIgtIQhsJR)
2,"Good morning guys. 

Just to inform you that, I am GOING OFF TWITTER for TWO days. 

Till then bye bye. C you soon… https://t.co/YeIomWvYnL"
3,"My week on Twitter 🎉: 378 Mentions, 24.2K Mention Reach, 2.51K Likes, 246 Retweets, 65 New Followers. See yours wit… https://t.co/CyUvq4iDDL"
4,"My week on Twitter 🎉: 378 Mentions, 24.2K Mention Reach, 2.51K Likes, 246 Retweets, 65 New Followers. See yours wit… https://t.co/ESd0DEZ3gC"
5,"Guys,it seems u wnt to compare STARDOM 😎

1. RANBIR statistics👇
Film - #BombayVelvet 
cast - Avrg
Director -BEST
Bu… https://t.co/mXa2YYTSy3"
6,Last 24 Hours = 18 Followers and 9 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
7,"RT @KapilMishra_IND: कोई करीना, सोनम, स्वरा
कोई राहुल, कोई केजरीवाल

पहले पूछे मजहब क्या है
फिर पूछे बिटिया का हाल https://t.co/zA1MuRmtFt"
8,RT @ippatel: केजरी द्वारा दिल्ली के पूर्ण राज्य की मांग बाबा साहब की विद्वता पर सवाल व उनका अपमान है जिसे उन्होंने कठोरता से मना कर दिया था…
9,"RT @abpnewstv: Watch: 600 #Pakistani #Hindu refugees have been living without #electricity for more than 20 days in this #Delhi camp

#Adar…"
10,"RT @KapilMishra_IND: हिन्दू शरणार्थियों की बिजली काट दो

मंदसौर पर चुप्पी साध लो

सर्जिकल स्ट्राइक पर शक करो

This is Kejriwal Model of Gov…"
11,RT @basak_sanam: @KamalRKaan @BeingSalmanKhan Comeon ranbir hirithik all these are one film wonder how can we forget movie like besharam ja…
12,"Everyone is comparing Ranbir’s stardom with Salman’s that too with just one film #Sanju 
Ranbir acted too well and… https://t.co/QjzyDkxdX8"
13,RT @ANI: Red Corner Notice issued against Nirav Modi by Interpol in connection with #PNBScamCase https://t.co/pOeE09SCUy
14,"Jaise ek film se koi superstar nahi ban jata waise ek flop se kisika career khatam nahi hota. 

So chill guys. 

#sanju #Race3"
15,"Our biggest fans this week: @AhrarAli10, @MSahilG2, @rajhanda190. Thank you! via https://t.co/YW3ZTgIYAP https://t.co/o8pVNlXhVe"
