,0
0,"The most important thing you will do today is #staysafe #Mumbai. Listen to what we are saying, make informed decisi… https://t.co/xGP1m3dsuT"
1,The CPRO Westeren Railway with us NOW! Tune in . He says  no services from BAndra to Goregaon and vice Versa. He sa… https://t.co/mBQ57w47IR
2,"How’s the morning looking, my favourite city?  You wanna talk about it? Perhaps sing about it? Call me on 66935935… https://t.co/yeGc5DqNGl"
3,"RT @RedFMIndia: #IshaanKhattar &amp; #JanhviKapoor reveal their first crush on Slambook With @mymalishka

#DhadakatRedFM @DharmaMovies @ZeeMusi…"
4,Omg! #France! Je t’aime But #Argentina is it adieu already???  😳#FranciaArgentina #FifaWorldCup2018
5,Behen! Behen! #represent ! Super and real. https://t.co/2wRHxEqVFH
6,"RT @DelhiDecoded: German Shepherd dog found in Vasant Kunj, New Delhi needs a loving home. He had a red, worn out collar and looked in sobe…"
7,The ‘let’s rehearse for when there’s birthday cake on your face’ Move. Happy Birthday @arjunk26. Thanks for that ad… https://t.co/k0JEpHLA3a
8,#IIFAAwards happening now ! Catch some of the messsss on my insta;) mymalishka #RanbirKapoor #rekha @konkonas… https://t.co/0uKzrydX08
9,It’s raining Awards!! Tonight the #GoldAwards watch us take that carpet by storm! https://t.co/Uh8WvrSu48
10,I’m off .... see you in #Bangkok😎#iifa2018 #aajaaaja Follow updates on insta: mymalishka . https://t.co/KwVDcnazC7
11,Geee thanks:) You’re my number 1:) https://t.co/kQRzra4VlI
12,"Supabbbb! Boyses fan following dekho Tumhari bhi badh rahi hai ;) 
@MissMalini ko pyaar bhejo chalo❤️ https://t.co/oEVJOnpAXa"
13,"Whaaaaaat! I literally just did and then I saw your request. Now I’m gonna play rashke qamar for you, Ok?:) https://t.co/y4bdP7Ssic"
14,Aur har Shaam Hamari tv par Chamaknewaali publllleeeek. #GoldAwards2018 . So happy to present an award ! https://t.co/KYpgK13rV4
15,We’ll do better than that. Give us your number. @malishkakeboys you know what to do :) https://t.co/8sCgpxwKIe
16,Dr Varsha Rokde of Bachpan Bachao Andolan has just brilliantly told us what to do when you see Chhotu serve chai at… https://t.co/oaAJp9diiz
17,RT @virsanghvi: What frightens me is how India has changed so much that people have no problems saying this sort of garbage openly &amp; how cr…
18,@Utd_4evr_Nimish Hahahahaha shabaash majhya wagha:)
19,#kitnepratishatMumbaikar ... Geeli Chaddi pehenkar office gaye hain kabhi na kabhi. We went out on the streets to a… https://t.co/iMrYZXaFeD
20,Cheering for Football is like that orgasm you can have in front of everyone!😆 People shouting out words the way the… https://t.co/2yyoYQpSBB
21,"Can you believe what Iceland managed?? This World Cup is gonna blow our mindsssss, mark my words. Our minds anyway… https://t.co/iSbJ9q0Cvt"
22,"This! Ladies and gentlemen this! Watch and learn. If @AnushkaSharma can do this being such a celebrated person, we… https://t.co/uDPMbKKZUj"
23,So so true! https://t.co/xBcRQX2Pfa
24,Nawwwww! The rain had better not mess with my viewing of Messi! 😡😡😡 Attak ke chal rahi hai 😭😭😭 and there’s no antenna we can set either:(
25,OMG! Good One Iceland! Two places my vocal chords go nuts. Either when I’m on the radio or when I’m cheering for ‘t… https://t.co/1aLIYjGfhe
26,What’s #Messi thinking right now?is there pressure? Only the whole world is watching and sending him love❤️😳. How m… https://t.co/aQd0shcWLw
27,"May this Eid bring peace, joy and lots of shiir-korma our way. #Amen #eidmubarak https://t.co/VPlmI4TlF5"
28,So come on this is Portugal’s game right? This @Cristiano blowsssss MA mind! Look at the focus on his face as he dr… https://t.co/khxIm91WOK
29,Kya time par video liya hai!! Spain levels it.   #ESPPOR https://t.co/6a3SxWSF0c
30,"It has really begun! In the Spain vs Goa oops Portugal Match, the roguish Ronaldo already stealing ❤️❤️❤️ and goals… https://t.co/QkgtFN4PYk"
31,Hamari Iftaar bestest! https://t.co/Va6SxUEKn9
32,"Always, Sir:) Thankyou for always making me a part of your initiatives and for the love and respect from your peopl… https://t.co/ez9Q5VmfiK"
33,#AboutLastNight yes... Iftaar ke liye Morning jocks stay back and dress up for the night. It was lovelyyyy. Thanks… https://t.co/LIVBMNnhRY
34,These kids from @StemEarth spent their summer vacay collecting and recycling plastic in Ghatkopar and they’re fab!… https://t.co/GpAMBMDvny
35,Russia mein khelein wo... India mein hum. Has the city fever gripped you yet? Who are you rooting for? Let’s break… https://t.co/UHdoFf3OOT
36,Read. https://t.co/W3R15moCiz
37,"I knew it! बदला सिर्फ नागिन नही लेती ! The sea will teach us in her own subtle , not-so-subtle way ! #savetheoceans https://t.co/ZkSgVsOaBn"
38,"I’m very happy and proud to present to you this year’s #BajaoForACause . It’s been my baby, my heart and soul on th… https://t.co/JMCJeIZQit"
39,This #throwback #BTS #Tumharisulu video garnered some 2 mil + views on my insta so I think Twitter deserves it too!… https://t.co/uiETZI8tQx
40,Whaaaaattt!!! What a run you’ve had and how beautiful all that you wrote. Saving it for a time when I may need to s… https://t.co/43kLh4qfFI
41,There’s Something wrong with the world today. I don’t know what it is. RIP #AnthonyBourdain .… https://t.co/BTMeqHVsir
42,"She  tells it like it is! @ReallySwara talking trolls,VDW and charam Sukh ;) https://t.co/knILn0sP8o via @Audioboom https://t.co/pha4Ix2Fnm"
43,"I speak to the lass of the moment @ReallySwara , fearlessly playing roles and taking on trolls😈 Coming up exclusive… https://t.co/kwgKRRTzFL"
44,This just made my day❤️❤️❤️ and some part of the night🌸🌸🌸 https://t.co/1sD1RrIwvp
45,Has anyone else noticed these Menaka-like biryani hoardings all over the city?? Or is it just visible to us Vishwam… https://t.co/BjTGK5lNR1
46,So it has begun! 🌊⚡️⛈🌧 How many of you are shiiiiite scared right now about the future... Like 1 hour from now?!!!… https://t.co/80lgVVmWeH
47,That’s it Swara!  You gotta be on my show. Your replies to the trolls is on point and fully hilllllaaarrrrious! Hah… https://t.co/hQdhhtBgkA
48,I don’t know about the BMC but the pressure on me to sing the opposite of Raag Malhar is pretty high! 😄 Honoured to… https://t.co/onwsbaqwZY
49,@rjrishikapoor @RedFM_Mumbai @RedFMIndia You are hamri kachchi Naagin rrre! Kaala teeka kaan ke peechche. 😍Hashtag - nazar naa lagey types 😄
50,The Captain has spoken... again.. this time to us @RedFM_Mumbai . The team’s power lies in our cheers. Give it to t… https://t.co/mxlmCeLIGp
51,. @chetrisunil11 was a name I associated with my country’s #football team from afar. Today I have the honour of spe… https://t.co/7KSMeZsntG
52,Thanks @nisha_narayanan for nominating me for the #HumFitTohIndiaFit challenge. Last eve was perfect to show One ho… https://t.co/TJTOEK3rkV
53,Hell yeah! #WorldEnvironmentDay2018 https://t.co/86vmoKYYLU
54,You didn’t go?? And yet you know:) Good job!! https://t.co/NSGV6hs0VO
55,The experiment is over. Elphinstone Bridge And Currey Road Bridge are two ways Again. It wasn’t working out in the… https://t.co/ml7B6JIyFE
56,Captain didn’t forget to put the fans first 😍😍😍 What a win! Congrats to the team and us who filled the stadium with… https://t.co/ezb3Yx6tnF
57,Hahaha. My Ajji boldesst ;) https://t.co/fBkugfNlQh
