,0
0,"Coming to launch and wish #thegoldenpod all the success .

#thechocolateroomau #thechocolateroom #thegoldenpod… https://t.co/pU2G5G5EtK"
1,Get ready for a double dose of entertainment as @whosunilgrover and @iamnehakakkar are coming on the show tonight!!… https://t.co/nNTasTAB42
2,#DabanggReloaded Tour sold out show in Chicago ! Was amazing to see u all there . Keep d energy .. coming to you so… https://t.co/QSe3f4q9L9
3,"Aaj baari hai Chicago . Aur kal Los Angeles ki ...

#DabanggReloaded @DabanggTour2018 @ZEEAmericas @sahilpromotions… https://t.co/JAJ0suV0GQ"
4,"Check this song by Arjun Kanungo called 'Aaya na tu' . Best of Luck https://t.co/OWtMCQ6fZr

@arjun_kanungo #AayaNaTu"
5,I thank every 1 who has gone to see #Race3 in the theaters n each n every 1 individually for watching race n glad t… https://t.co/fSCyUE4ExO
6,"Come party with us !

#Partywithus #ProsperousEntertainment #DaBanggNight #TheOfficialClubParty #DabanggReloaded… https://t.co/eNenv0GRBz"
7,"USA Canada ! Swag se swagat karna padega hi aapko humara !

#DabanggReloaded @DabanggTour2018 @ZEEAmericas… https://t.co/vFtT94EPaE"
8,"Fathers  are indeed very special. Watch father’s princess, Sneha, and a  hardworking father Narinder get emotional… https://t.co/0R81YVJLCB"
9,"Enjoy karo the teaser of #YamlaPaglaDeewanaPhirSe ;) . 

https://t.co/0XsMZ1QrsW 

#YPDHPhirSeTeaser @aapkadharam… https://t.co/X61ueB9ezJ"
10,"Eid Mubarak to all my loved ones .

https://t.co/j0dYsxr9ZZ

#Race3WaaliEid #Race3InCinemas https://t.co/9zPlGpbqjH"
11,"I found love 💖. Enjoy Karo #Race3 ka romantic song . 

 https://t.co/j0dYsxr9ZZ

@Asli_Jacqueline @veerasaxena… https://t.co/IsFwddWsAi"
12,Ab baccha baccha Jaanta hai ki ... https://t.co/MTtr1rzTXa
13,"Hahaha yeh maat dekho ! Rameshji kuch bhi bolte hai ;) picture dekho!

@Asli_Jacqueline @AnilKapoor @ShahDaisy25… https://t.co/ZNUlaEqgyD"
14,Next level ka action .. Next level ka thrill toh next level ka Trailer toh banta hai! Enjoy the #Race3ActionTrailer… https://t.co/WkAUJjM8DV
15,"پیار میں کهوجاو
#LoveratriTeaser
کے سنگ

https://t.co/61GUTtZzSO  

@aaysharma @Warina_Hussain @abhiraj21288… https://t.co/jQhgpLrMxR"
16,"प्यार मे खो जाओ #LoveratriTeaser के संग| 

https://t.co/61GUTtZzSO  

@aaysharma @Warina_Hussain @abhiraj21288… https://t.co/sO1ByeCpWJ"
17,"પ્રેમ માં ખોવાઈ જાઓ #LoveratriTeaser ના સાથે !
https://t.co/61GUTtZzSO   

@aaysharma @Warina_Hussain @abhiraj21288… https://t.co/5mAjG3iPw4"
18,"Come fall in Love ! 

https://t.co/61GUTtZzSO

@aaysharma @Warina_Hussain @abhiraj21288 @SKFilmsOfficial #LoveratriTeaser"
19,"Sirf aapko yeh batane, aaj early good morning. #LoveratriTeaser out at 3pm. 

@aaysharma @Warina_Hussain… https://t.co/IUegTntvgU"
20,The #Race3 team @ShahDaisy25 @AnilKapoor @thedeol @Saqibsaleem &amp; @Asli_Jacqueline are coming tonight on… https://t.co/AEExC03puW
21,"#Race3 album Live on @gaana . Suno! https://t.co/pcn0avb0gB  

@nehabhasin4u #DeepMoney @itsaadee @IuliaVantur… https://t.co/v5F0bR9SLK"
22,Who do you think will be able to answer it correctly? @Saqibsaleem and @thedeol or @Asli_Jacqueline and… https://t.co/Hkd1AGnmQM
23,"Thank you #Jammu &amp; #Kashmir tourism for all the support and the wonderful experience for #Race3 . 

 #Race3… https://t.co/eJrzqAw3Xf"
24,"Party Chale On &amp; On!!

https://t.co/xUk1iZVEJg

@Asli_Jacqueline @AnilKapoor @thedeol @ShahDaisy25 @Saqibsaleem… https://t.co/NTII9YaGoz"
25,June is here aur countdown shuru ho gaya hai. USA/Canada - the #DabanggTour coming very soon near you .… https://t.co/AAp4CvrKF5
26,"“Allah Duhai Hai” Gaane ko apni caller tune banane Ke liye

Vodafone Users Dial Karo 
53710484875

Idea Users Dial… https://t.co/6fV1XAO6rj"
27,"Rameshji Bol rahe hai chariya Gaana hit ho Gaya hai !!!!!! 😂 😂

@Asli_Jacqueline @AnilKapoor @thedeol @ShahDaisy25… https://t.co/sJXfSggdyJ"
