,0
0,"Scrolling , absorbing , relief and tranquil. That’s all the day has been about. 
📷 : when the associate director fi… https://t.co/j8VhRQYsQ2"
1,@PulkitSamrat @chintskap @anubhavsinha @BenarasMedia @ZeeMusicCompany @DeepakMukut Thankq
2,"I also don’t know how.... should I give u numbers of some film makers to check on that mystery ??? 
With love 
Aart… https://t.co/NOrKOqpEMh"
3,Whoa! That’s some love ! Thank you everyone ! 🙏🏼 #MulkTeaser https://t.co/8K0bCCMBOf
4,"And on the other hand......
Bring out your desi swag with #GoodManDiLaaltain!  
https://t.co/mFTHkUgSxm… https://t.co/vr7JAuK4sA"
5,"मुल्क काग़ज़ पे नक़्शे की लकीरौं से नहीं बँटता 
- Aarti Mohammed 

#MulkTeaser: 
https://t.co/cg5vwLSGf0… https://t.co/LfQ3n0dl7B"
6,@SnehaRajani @anubhavsinha Arrreeeeee yeh hui na validation !
7,"And here’s yours Truly! #Mulk 3rd August 2018 
Some films are not made just for screens..... they need to travel be… https://t.co/S0e6bgjrW1"
8,It has begun !!!!!!! 🙏🏼 https://t.co/GyXlLGyVKx
9,@BajpayeeManoj @anubhavsinha @chintskap The big question will be... are WE ready for it ???😁😁😁😊
10,"What has fate in store for Murad Ali Mohammed? Find out in the teaser tomorrow 
#MyMulk.

@chintskap @benarasmedia… https://t.co/WOQPiOlb5e"
11,"Watch the making of the power-packed #SoormaAnthem here: https://t.co/dtUNU9XtSB
@sonypicsprodns @ShankarEhsanLoy… https://t.co/XHfedvBVj7"
12,"RT @TheReel_in: .@Taapsee interview: ‘I am an outsider in all possible ways and it is a big plus point’ https://t.co/ji18kWx6S8

 “A person…"
13,"RT @SrBachchan: T 2848 - To SOORMA , my best wishes .. to the director and friend Shaad; to my colleague Taapsee; to a bright talent and ad…"
14,@SrBachchan Yayy!!! And I shall thank u in person on set Today 😁😁😁
15,@Imangadbedi Hahahhhahaha. Dilli Abhi duur hai Bedi!
16,"Soaking up the Roman sun in this polka crop top from @mykoovs 
#TaapseeXKOOVS #KOOVSXYOU https://t.co/juPqzWE3FF"
17,That’s amazing ! Thank u so much ! https://t.co/POZ7LkGimz
